rating,character,year,species
6.9,12,1999,COMEDY
6.9,12,1999,ROMANCE
6.2,14,1992,ADVENTURE
6.2,14,1992,BIOGRAPHY
6.2,14,1992,DRAMA
6.2,14,1992,HISTORY
6.1,23,2001,ACTION
6.1,23,2001,CRIME
6.1,23,2001,DRAMA
6.1,23,2001,THRILLER
8.4,13,1968,ADVENTURE
8.4,13,1968,MYSTERY
8.4,13,1968,SCI-FI
6.9,16,1982,ACTION
6.9,16,1982,COMEDY
6.9,16,1982,CRIME
6.9,16,1982,DRAMA
6.9,16,1982,THRILLER
7.5,22,1997,ACTION
7.5,22,1997,ADVENTURE
7.5,22,1997,ROMANCE
7.5,22,1997,SCI-FI
7.5,22,1997,THRILLER
6.3,15,1999,CRIME
6.3,15,1999,MYSTERY
6.3,15,1999,THRILLER
5.2,8,1988,FANTASY
5.2,8,1988,HORROR
5.2,8,1988,THRILLER
4.7,8,1989,FANTASY
4.7,8,1989,HORROR
4.7,8,1989,THRILLER
4.9,8,1959,SCI-FI
4.9,8,1959,THRILLER
6.9,16,1997,DRAMA
6.9,16,1997,MYSTERY
6.9,16,1997,THRILLER
6.3,23,1997,ACTION
6.3,23,1997,DRAMA
6.3,23,1997,THRILLER
5.8,17,1982,COMEDY
5.8,17,1982,ROMANCE
5.8,17,1982,SCI-FI
7.8,20,1980,COMEDY
7.8,20,1980,ROMANCE
6.1,13,1988,CRIME
6.1,13,1988,DRAMA
6.1,13,1988,SCI-FI
6.1,13,1988,THRILLER
8.5,13,1986,ACTION
8.5,13,1986,SCI-FI
8.5,13,1986,THRILLER
8.4,28,1984,BIOGRAPHY
8.4,28,1984,DRAMA
8.4,28,1984,MUSIC
7.5,15,1981,HORROR
7.5,15,1981,ROMANCE
7.4,22,1932,DRAMA
5.7,21,2001,ACTION
5.7,21,2001,WESTERN
7.4,17,2000,DRAMA
7.4,17,2000,THRILLER
6.0,16,2001,DRAMA
6.0,16,2001,THRILLER
7.1,18,1997,ACTION
7.1,18,1997,ADVENTURE
7.1,18,1997,COMEDY
7.1,18,1997,CRIME
3.4,12,1998,ACTION
3.4,12,1998,ADVENTURE
3.4,12,1998,THRILLER
5.9,21,1984,COMEDY
5.9,21,1984,ROMANCE
6.6,14,1991,ACTION
6.6,14,1991,CRIME
6.6,14,1991,DRAMA
6.6,14,1991,MYSTERY
6.6,14,1991,THRILLER
6.9,10,1992,CRIME
6.9,10,1992,DRAMA
6.3,19,2000,COMEDY
6.3,19,2000,DRAMA
6.3,19,2000,MUSIC
8.1,22,1975,DRAMA
8.1,22,1975,ROMANCE
8.1,22,1975,WAR
6.3,12,2003,CRIME
6.3,12,2003,DRAMA
6.3,12,2003,MYSTERY
6.3,12,2003,THRILLER
8.1,11,2003,ADVENTURE
8.1,11,2003,DRAMA
8.1,11,2003,FANTASY
6.0,6,2001,COMEDY
6.0,6,2001,CRIME
6.0,6,2001,ROMANCE
6.0,6,2001,THRILLER
7.1,15,2006,DRAMA
6.4,9,1989,ACTION
6.4,9,1989,CRIME
6.4,9,1989,DRAMA
6.4,9,1989,THRILLER
8.3,18,1982,DRAMA
8.3,18,1982,SCI-FI
8.3,18,1982,THRILLER
6.4,21,1999,COMEDY
6.4,21,1999,DRAMA
6.4,21,1999,ROMANCE
7.8,14,1986,CRIME
7.8,14,1986,MYSTERY
7.8,14,1986,THRILLER
7.8,17,1999,ACTION
7.8,17,1999,CRIME
7.8,17,1999,DRAMA
7.8,17,1999,THRILLER
7.2,13,1996,COMEDY
7.2,13,1996,CRIME
7.6,16,2004,ACTION
7.6,16,2004,ADVENTURE
7.6,16,2004,MYSTERY
7.6,16,2004,THRILLER
8.4,15,1995,ACTION
8.4,15,1995,BIOGRAPHY
8.4,15,1995,DRAMA
8.4,15,1995,HISTORY
8.4,15,1995,WAR
7.8,15,2004,DRAMA
7.8,15,2004,MYSTERY
7.8,15,2004,SCI-FI
7.8,15,2004,THRILLER
8.8,15,1942,DRAMA
8.8,15,1942,ROMANCE
8.8,15,1942,WAR
7.5,16,2000,ADVENTURE
